CONTENT|SENTIMENT|RATING|DOMAIN|FONT|CREATE_AT
Péssimo produto! Estou tentando devolver mas ainda não recebi o número para reenviar o aparelho. Marca a pressão errada, testei com dois outros de marcas diferentes que tenho em casa.|negative|1|Saúde|b2w-reviews|2018-01-07 10:12:17.000000000
Aparelho bom, câmera excelente. Eu indico esse aparelho.|neutral|3|Celulares e Smartphones|b2w-reviews|2018-04-09 20:46:40.000000000
Comprei 6 cadeiras dessas e chegaram há três semanas.. Além da baixa qualidade do material, o plástico onde encaixam as rodinhas se quebrou e o cliente caiu no chão!   Como proceder?  Estou muito insatisfeito com o produto ainda mais com a segurança dos meus clientes.|negative|1|Móveis|b2w-reviews|2018-03-13 12:40:16.000000000
Produto perfeito, a entrega foi rapida! Nada contra mas a configuração wireless sempre q a TV é desligada se perde e tem q configurar tudo de novo, ainda não solucionei o problema pois não sei como realizar! No mais a TV é otima!|positive|5|TV e Home Theater|b2w-reviews|2018-05-02 07:15:13.000000000
otimo produto, uso a anos otimo produto, uso a anos otimo produto, uso a anos|positive|5|Beleza e Perfumaria|b2w-reviews|2018-03-08 10:23:37.000000000
Ótimo produto trouxe muita privacidade ao meu apartamento a sala fica realmente escura mesmo em dias de.muito sol.|positive|4|Cama, Mesa e Banho|b2w-reviews|2018-01-07 08:11:31.000000000
Pela foto demonstra ser de otima qualidade, mas não  é. É  de um tipo de plastico e muito fraco... me arrependi|negative|1|Utilidades Domésticas|b2w-reviews|2018-01-11 06:58:24.000000000
Essa história de compar pela Americanas se na verdade ser loja parceira não funciona  Tô tentando contato e nada dinheiro jogado fora|negative|1|Áudio|b2w-reviews|2018-05-14 19:59:46.000000000
Chegou bem antes do prazo eo produto atendeu as minhas necessidades e expectativas!  é mto bom! :)|positive|5|Utilidades Domésticas|b2w-reviews|2018-05-16 16:46:08.000000000
Meu celular veio com o carregador com defeito, já é tão difícil pedir uma coisa pela internet. Acho que a empresa poderia ter testado antes pra não ter o estresse do cliente receber um produto com defeito pra poder ir atrás da empresa ou da marca trocar. Vou ter que me deslocar pra uma cidade vizinha pra conseguir trocar o produto na autorizada, todo o dinheiro que economizei comprando, vou gastar agora, isso se eu não gastar mais ainda, e ainda ter que esperar pra autorizada trocar. A palavra é ARREPENDIDA!|negative|1|Celulares e Smartphones|b2w-reviews|2018-01-08 15:08:30.000000000
produto de excelência qualidade e chegou antes do prazo|positive|5|Informática|b2w-reviews|2018-03-12 09:53:17.000000000
chegou no dia combinado,não tive nenhum problema com o aparelho adorei o produto e como eu queria,obrigado.  Vocês estão de parabéns em atendimento|positive|5|Informática|b2w-reviews|2018-04-26 07:16:32.000000000
Conheço a marca do produto, sempre usei, porém a surpresa ao abrir o rímel me chateou bastante. O produto está duro, ressecado, sem condições de uso. Está dentro do prazo de validade.|negative|1|Beleza e Perfumaria|b2w-reviews|2018-01-15 07:12:27.000000000
TV COM PROBLEMA NA TELA, RECOMENDO O SITE POR QUE ATENDERAM SUPER BEM, E NA HORA CANCELARAM A COMPRA SEM MUITA BUROCRACIA|negative|1|TV e Home Theater|b2w-reviews|2018-05-24 06:21:42.000000000
produto bonito, instalação de média dificuldade, porém é bem barulhento|positive|4|Eletrodomésticos|b2w-reviews|2018-01-07 12:48:00.000000000
Me sento muito decepcionada pois comprei dois celulares moto c plus  por 699 cada  tenho só quinze dias que estou com  o aparelho e agora está com este preço e comprei na mesma loja americana|positive|4|Celulares e Smartphones|b2w-reviews|2018-02-01 18:55:28.000000000
Até hoje não recebi meu pedido e ficam me enrrolando mandando várias mensagens pedindo desculpas pelo erro , porém não tem nada resolvido ,pedem meu telefone ,só que o telefone já tem na conta e quando faço o pedido , vou tentar buscar na loja , se não receber o produto quero meu dinheiro de volta , é uma falta de respeito com os clientes , e já estou ciente que não sou só eu que tive esses problemas , aguardo um retorno verdadeiro falando oque realmente tá acontecendo , porque só dizem que vão me retornar em 42 HS porém já se passaram um mês desde que o pedido foi feito|negative|1|Games|b2w-reviews|2018-03-27 16:44:48.000000000
Fiz a compra pelo site,uma que anunciam o que eles nao têm,comprei esperei esperei e quando fui contatar o vendedor disse que não tinha em estoque e outra que nem se dão o trabalho de responder corretamente o cliente e solucionar o problema... tanto faz ou tanto fez cancelar ou não  Péssimo,não recomendo a ninguém. Americanas estraga a reputação dela com empresas assim.|negative|1|Beleza e Perfumaria|b2w-reviews|2018-01-14 06:24:10.000000000
abrangi todas as minhas necessidades, deixando os cabelos pronto para Selagem.|positive|5|Beleza e Perfumaria|b2w-reviews|2018-03-03 22:20:36.000000000
Linda colcha. Ótimo tecido. Estampa linda e discreta.|positive|4|Cama, Mesa e Banho|b2w-reviews|2018-04-04 11:43:34.000000000
A bateria em menos de um mês apresentou problemas! No começo a bateria estava funcionando normalmente, mas acabava rápido, agora tenho que ficar andando com o carregador portátil o tempo todo senão o celular fica desligando devida a bateria de baixa qualidade. Não recomendo este produto, muito ruim!|negative|1|Celulares e Smartphones|b2w-reviews|2018-01-07 22:11:52.000000000
Achei o produto muito completo, atende minhas expectativas! A entrega das americanas foi bastante rápida, recebi antes do prazo.|positive|5|Livros|b2w-reviews|2018-05-04 19:44:46.000000000
